job,marital,edu,age,social,race,position,county,country,salary
"\" Private\"","\" Married-civ-spouse\"","\" 12th\"",36,"\" Husband\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-civ-spouse\"","\" 12th\"",40,"\" Husband\"","\" Black\"","\" Other-service\"",40,"\" Jamaica\"","\" <=50K\""
"\" Private\"","\" Married-civ-spouse\"","\" 12th\"",49,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",39,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-civ-spouse\"","\" 12th\"",25,"\" Wife\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Divorced\"","\" 12th\"",58,"\" Not-in-family\"","\" White\"","\" Sales\"",52,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 12th\"",32,"\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 12th\"",44,"\" Husband\"","\" Black\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 12th\"",30,"\" Husband\"","\" White\"","\" Transport-moving\"",75,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 12th\"",62,"\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
"\" Private\"","\" Separated\"","\" 12th\"",48,"\" Own-child\"","\" Black\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" 12th\"",17,"\" Own-child\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" 12th\"",18,"\" Own-child\"","\" White\"","\" ?\"",25,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" 12th\"",52,"\" Other-relative\"","\" Black\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Divorced\"","\" 12th\"",35,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" >50K\""
"\" Private\"","\" Divorced\"","\" 12th\"",44,"\" Unmarried\"","\" Black\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Married-civ-spouse\"","\" 12th\"",58,"\" Husband\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Married-civ-spouse\"","\" 12th\"",39,"\" Husband\"","\" White\"","\" Tech-support\"",50,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" 12th\"",18,"\" Own-child\"","\" White\"","\" Protective-serv\"",40,"\" United-States\"","\" <=50K\""
