job,marital,edu,age,social,race,position,county,country,salary
"\" ?\"","\" Widowed\"","\" Assoc-voc\"",57,"\" Unmarried\"","\" White\"","\" ?\"",38,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" Assoc-voc\"",36,"\" Not-in-family\"","\" White\"","\" ?\"",20,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" Assoc-voc\"",69,"\" Not-in-family\"","\" White\"","\" ?\"",1,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Married-civ-spouse\"","\" Assoc-voc\"",40,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",38,"\" United-States\"","\" >50K\""
"\" State-gov\"","\" Married-civ-spouse\"","\" Assoc-voc\"",41,"\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Married-civ-spouse\"","\" Assoc-voc\"",43,"\" Wife\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" Assoc-voc\"",30,"\" Husband\"","\" White\"","\" Prof-specialty\"",65,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" Assoc-voc\"",66,"\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" Assoc-voc\"",36,"\" Husband\"","\" White\"","\" Tech-support\"",60,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Divorced\"","\" Assoc-voc\"",33,"\" Unmarried\"","\" Black\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
"\" Private\"","\" Separated\"","\" Assoc-voc\"",29,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" Assoc-voc\"",26,"\" Not-in-family\"","\" Black\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" Assoc-voc\"",52,"\" Unmarried\"","\" White\"","\" Other-service\"",35,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" Assoc-voc\"",23,"\" Own-child\"","\" Black\"","\" ?\"",15,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Never-married\"","\" Assoc-voc\"",21,"\" Not-in-family\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Federal-gov\"","\" Never-married\"","\" Assoc-voc\"",31,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Divorced\"","\" Assoc-voc\"",31,"\" Own-child\"","\" White\"","\" Craft-repair\"",20,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Divorced\"","\" Assoc-voc\"",32,"\" Unmarried\"","\" White\"","\" Sales\"",50,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" Assoc-voc\"",43,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",35,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Widowed\"","\" Assoc-voc\"",66,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",20,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" Assoc-voc\"",37,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Private\"","\" Widowed\"","\" Assoc-voc\"",63,"\" Unmarried\"","\" White\"","\" Adm-clerical\"",8,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" Assoc-voc\"",45,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Widowed\"","\" Assoc-voc\"",75,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",20,"\" Columbia\"","\" <=50K\""
"\" Local-gov\"","\" Divorced\"","\" Assoc-voc\"",23,"\" Not-in-family\"","\" White\"","\" Tech-support\"",56,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Divorced\"","\" Assoc-voc\"",30,"\" Unmarried\"","\" White\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Married-spouse-absent\"","\" Assoc-voc\"",49,"\" Unmarried\"","\" White\"","\" Handlers-cleaners\"",42,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Married-civ-spouse\"","\" Assoc-voc\"",60,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",70,"\" ?\"","\" >50K\""
"\" Local-gov\"","\" Married-civ-spouse\"","\" Assoc-voc\"",49,"\" Husband\"","\" Black\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
"\" Local-gov\"","\" Married-civ-spouse\"","\" Assoc-voc\"",28,"\" Husband\"","\" Black\"","\" Protective-serv\"",46,"\" United-States\"","\" <=50K\""
