marital,edu,age,social,race,position,county,country,salary
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Own-child\"","\" White\"","\" Craft-repair\"",38,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Not-in-family\"","\" White\"","\" Sales\"",50,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Own-child\"","\" White\"","\" Adm-clerical\"",38,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Own-child\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Own-child\"","\" White\"","\" Other-service\"",15,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Not-in-family\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[20 - 25[,"\" Unmarried\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Not-in-family\"","\" White\"","\" Protective-serv\"",60,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Own-child\"","\" White\"","\" Exec-managerial\"",35,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Not-in-family\"","\" White\"","\" Craft-repair\"",45,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Unmarried\"","\" White\"","\" Other-service\"",30,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",42,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Not-in-family\"","\" White\"","\" Other-service\"",30,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Never-married\"","\" Assoc-voc\"",[25 - 30[,"\" Own-child\"","\" White\"","\" Adm-clerical\"",30,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Not-in-family\"","\" White\"","\" Adm-clerical\"",45,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",43,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Own-child\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Own-child\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Assoc-voc\"",[30 - 50[,"\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
