age,job,marital,edu,social,race,position,county,country,salary
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Black\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Other-service\"",30,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Handlers-cleaners\"",35,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Other-relative\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",36,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Black\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Other-relative\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Other-service\"",25,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Transport-moving\"",65,"\" United-States\"","\" <=50K\""
25,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
55,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" >50K\""
55,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
55,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
55,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
55,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",60,"\" United-States\"","\" <=50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Sales\"",44,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",65,"\" United-States\"","\" <=50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" >50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Machine-op-inspct\"",50,"\" United-States\"","\" <=50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" >50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Wife\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Wife\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" >50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" Black\"","\" Craft-repair\"",60,"\" United-States\"","\" >50K\""
46,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Adm-clerical\"",58,"\" United-States\"","\" >50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Amer-Indian-Eskimo\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",25,"\" United-States\"","\" <=50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",48,"\" United-States\"","\" <=50K\""
29,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" Black\"","\" Other-service\"",40,"\" Japan\"","\" <=50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Machine-op-inspct\"",45,"\" United-States\"","\" <=50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" Black\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
36,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" White\"","\" Transport-moving\"",50,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" Black\"","\" Handlers-cleaners\"",7,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" Black\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" Black\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Other-service\"",25,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Handlers-cleaners\"",72,"\" Dominican-Republic\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" White\"","\" Other-service\"",35,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" Black\"","\" Protective-serv\"",16,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Black\"","\" Machine-op-inspct\"",35,"\" United-States\"","\" <=50K\""
23,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" Black\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",36,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Other-service\"",30,"\" United-States\"","\" <=50K\""
21,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Other-service\"",16,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Wife\"","\" Black\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" Black\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",50,"\" United-States\"","\" >50K\""
35,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Wife\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" >50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Unmarried\"","\" Black\"","\" Priv-house-serv\"",30,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Unmarried\"","\" White\"","\" Prof-specialty\"",25,"\" United-States\"","\" <=50K\""
34,"\" Private\"","\" Divorced\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",30,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Sales\"",45,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",70,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Black\"","\" Other-service\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
35,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" Asian-Pac-Islander\"","\" Exec-managerial\"",40,"\" England\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Unmarried\"","\" Black\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Craft-repair\"",70,"\" United-States\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" Black\"","\" Other-service\"",40,"\" ?\"","\" <=50K\""
28,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Sales\"",48,"\" United-States\"","\" <=50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",35,"\" United-States\"","\" <=50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Transport-moving\"",60,"\" United-States\"","\" >50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" Asian-Pac-Islander\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Wife\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" >50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" >50K\""
60,"\" Private\"","\" Married-civ-spouse\"","\" HS-grad\"","\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
22,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
22,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
22,"\" Private\"","\" Never-married\"","\" HS-grad\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",41,"\" United-States\"","\" <=50K\""
