marital,edu,age,social,race,position,county,country,salary
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Husband\"","\" White\"","\" Handlers-cleaners\"",40,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Other-relative\"","\" White\"","\" Transport-moving\"",40,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Other-relative\"","\" White\"","\" Machine-op-inspct\"",40,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Wife\"","\" White\"","\" Machine-op-inspct\"",38,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 5th-6th\"",[20 - 50[,"\" Husband\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 5th-6th\"",[15 - 50[,"\" Other-relative\"","\" White\"","\" Other-service\"",48,"\" Mexico\"","\" <=50K\""
"\" Never-married\"","\" 5th-6th\"",[15 - 50[,"\" Own-child\"","\" White\"","\" Adm-clerical\"",40,"\" Mexico\"","\" <=50K\""
"\" Never-married\"","\" 5th-6th\"",[15 - 50[,"\" Own-child\"","\" White\"","\" Priv-house-serv\"",40,"\" El-Salvador\"","\" <=50K\""
"\" Never-married\"","\" 5th-6th\"",[15 - 50[,"\" Own-child\"","\" White\"","\" Other-service\"",40,"\" El-Salvador\"","\" <=50K\""
"\" Never-married\"","\" 5th-6th\"",[15 - 50[,"\" Not-in-family\"","\" White\"","\" Farming-fishing\"",35,"\" Mexico\"","\" <=50K\""
