marital,edu,age,social,race,position,county,country,salary
"\" Never-married\"","\" Doctorate\"",[25 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",70,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Doctorate\"",[25 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" England\"","\" <=50K\""
"\" Never-married\"","\" Doctorate\"",[25 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" England\"","\" <=50K\""
"\" Never-married\"","\" Doctorate\"",[25 - 60[,"\" Own-child\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" Doctorate\"",[25 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" Canada\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" Asian-Pac-Islander\"","\" Prof-specialty\"",40,"\" Taiwan\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" ?\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Adm-clerical\"",55,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Prof-specialty\"",65,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Doctorate\"",[35 - 65[,"\" Husband\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" >50K\""
