age,job,marital,edu,social,race,position,county,country,salary
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",42,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",50,"\" Poland\"","\" <=50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",60,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",50,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
38,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Wife\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
44,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" >50K\""
44,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
44,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" >50K\""
44,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" Italy\"","\" >50K\""
44,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Not-in-family\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Unmarried\"","\" Black\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Not-in-family\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Own-child\"","\" White\"","\" Other-service\"",20,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Not-in-family\"","\" Black\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Not-in-family\"","\" White\"","\" Tech-support\"",40,"\" United-States\"","\" <=50K\""
27,"\" Private\"","\" Never-married\"","\" Bachelors\"","\" Own-child\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Wife\"","\" White\"","\" Tech-support\"",16,"\" United-States\"","\" >50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Wife\"","\" Black\"","\" Adm-clerical\"",40,"\" United-States\"","\" >50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" >50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" >50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" <=50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Adm-clerical\"",40,"\" United-States\"","\" >50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" <=50K\""
30,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Wife\"","\" White\"","\" Other-service\"",40,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Craft-repair\"",40,"\" United-States\"","\" <=50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
39,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",65,"\" United-States\"","\" <=50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Prof-specialty\"",47,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Wife\"","\" White\"","\" Sales\"",45,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Sales\"",60,"\" United-States\"","\" >50K\""
33,"\" Private\"","\" Married-civ-spouse\"","\" Bachelors\"","\" Husband\"","\" White\"","\" Farming-fishing\"",40,"\" England\"","\" <=50K\""
