marital,edu,age,social,race,position,county,country,salary
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Farming-fishing\"",65,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Prof-specialty\"",35,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Sales\"",25,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Wife\"","\" White\"","\" Prof-specialty\"",10,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Prof-specialty\"",35,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 90[,"\" Husband\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 60[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 60[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 60[,"\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 60[,"\" Husband\"","\" Asian-Pac-Islander\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[35 - 60[,"\" Husband\"","\" White\"","\" Prof-specialty\"",35,"\" Greece\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[25 - 40[,"\" Husband\"","\" White\"","\" Prof-specialty\"",70,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[25 - 40[,"\" Husband\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[25 - 40[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[25 - 40[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[25 - 40[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Transport-moving\"",5,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",48,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",80,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" Asian-Pac-Islander\"","\" Sales\"",35,"\" China\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Wife\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Husband\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Prof-school\"",[40 - 70[,"\" Wife\"","\" White\"","\" Prof-specialty\"",60,"\" Honduras\"","\" >50K\""
