marital,edu,age,social,race,position,county,country,salary
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Unmarried\"","\" White\"","\" Other-service\"",50,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Not-in-family\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Own-child\"","\" White\"","\" Other-service\"",24,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Not-in-family\"","\" White\"","\" Other-service\"",6,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Own-child\"","\" Black\"","\" Handlers-cleaners\"",36,"\" United-States\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Other-relative\"","\" White\"","\" Craft-repair\"",40,"\" Mexico\"","\" <=50K\""
"\" Never-married\"","\" 9th\"",[15 - 50[,"\" Own-child\"","\" White\"","\" Handlers-cleaners\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[30 - 40[,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",43,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[30 - 40[,"\" Wife\"","\" Asian-Pac-Islander\"","\" Exec-managerial\"",48,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" 9th\"",[30 - 40[,"\" Husband\"","\" White\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[30 - 40[,"\" Husband\"","\" White\"","\" Handlers-cleaners\"",50,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[30 - 40[,"\" Wife\"","\" Black\"","\" Other-service\"",34,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[50 - 75[,"\" Husband\"","\" White\"","\" Transport-moving\"",50,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[50 - 75[,"\" Husband\"","\" White\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[50 - 75[,"\" Husband\"","\" Black\"","\" Machine-op-inspct\"",20,"\" Trinadad&Tobago\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[50 - 75[,"\" Other-relative\"","\" White\"","\" Handlers-cleaners\"",40,"\" Mexico\"","\" <=50K\""
"\" Married-civ-spouse\"","\" 9th\"",[50 - 75[,"\" Husband\"","\" White\"","\" Handlers-cleaners\"",50,"\" United-States\"","\" <=50K\""
