job,marital,edu,age,social,race,position,county,country,salary
"\" ?\"","\" Separated\"","\" 11th\"",31,"\" Not-in-family\"","\" Black\"","\" ?\"",40,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Separated\"","\" 11th\"",28,"\" Unmarried\"","\" Asian-Pac-Islander\"","\" Adm-clerical\"",40,"\" India\"","\" <=50K\""
"\" Local-gov\"","\" Married-civ-spouse\"","\" 11th\"",46,"\" Husband\"","\" White\"","\" Transport-moving\"",30,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Never-married\"","\" 11th\"",68,"\" Unmarried\"","\" White\"","\" Farming-fishing\"",20,"\" United-States\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Never-married\"","\" 11th\"",17,"\" Own-child\"","\" White\"","\" Farming-fishing\"",10,"\" United-States\"","\" <=50K\""
"\" State-gov\"","\" Never-married\"","\" 11th\"",18,"\" Own-child\"","\" White\"","\" Adm-clerical\"",5,"\" United-States\"","\" <=50K\""
"\" Self-emp-inc\"","\" Married-civ-spouse\"","\" 11th\"",28,"\" Husband\"","\" White\"","\" Craft-repair\"",50,"\" United-States\"","\" >50K\""
"\" ?\"","\" Married-spouse-absent\"","\" 11th\"",20,"\" Own-child\"","\" Asian-Pac-Islander\"","\" ?\"",40,"\" South\"","\" <=50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 11th\"",65,"\" Husband\"","\" White\"","\" Exec-managerial\"",59,"\" ?\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 11th\"",48,"\" Husband\"","\" White\"","\" Farming-fishing\"",50,"\" United-States\"","\" >50K\""
"\" Self-emp-not-inc\"","\" Married-civ-spouse\"","\" 11th\"",23,"\" Husband\"","\" White\"","\" Transport-moving\"",60,"\" United-States\"","\" >50K\""
"\" Private\"","\" Married-spouse-absent\"","\" 11th\"",41,"\" Not-in-family\"","\" White\"","\" Machine-op-inspct\"",40,"\" Guatemala\"","\" <=50K\""
"\" Local-gov\"","\" Separated\"","\" 11th\"",34,"\" Not-in-family\"","\" Black\"","\" Machine-op-inspct\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" 11th\"",31,"\" Not-in-family\"","\" Black\"","\" Other-service\"",42,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" 11th\"",35,"\" Not-in-family\"","\" Black\"","\" Transport-moving\"",40,"\" United-States\"","\" <=50K\""
"\" Private\"","\" Separated\"","\" 11th\"",35,"\" Not-in-family\"","\" White\"","\" Transport-moving\"",90,"\" United-States\"","\" <=50K\""
"\" ?\"","\" Widowed\"","\" 11th\"",72,"\" Not-in-family\"","\" White\"","\" ?\"",24,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" 11th\"",18,"\" Other-relative\"","\" White\"","\" Adm-clerical\"",25,"\" United-States\"","\" <=50K\""
"\" Local-gov\"","\" Never-married\"","\" 11th\"",24,"\" Not-in-family\"","\" Asian-Pac-Islander\"","\" Other-service\"",45,"\" United-States\"","\" <=50K\""
