marital,edu,age,social,race,position,county,country,salary
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",60,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Own-child\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",60,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",75,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",42,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",45,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Not-in-family\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" >50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Unmarried\"","\" White\"","\" Exec-managerial\"",50,"\" United-States\"","\" <=50K\""
"\" Divorced\"","\" Masters\"",[35 - 60[,"\" Not-in-family\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Farming-fishing\"",98,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Sales\"",50,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Craft-repair\"",10,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Prof-specialty\"",40,"\" United-States\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Sales\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Craft-repair\"",4,"\" ?\"","\" <=50K\""
"\" Married-civ-spouse\"","\" Masters\"",[40 - 80[,"\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[25 - 35[,"\" Husband\"","\" White\"","\" Prof-specialty\"",35,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[25 - 35[,"\" Husband\"","\" White\"","\" Exec-managerial\"",40,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[25 - 35[,"\" Husband\"","\" White\"","\" Exec-managerial\"",45,"\" United-States\"","\" >50K\""
"\" Married-civ-spouse\"","\" Masters\"",[25 - 35[,"\" Wife\"","\" White\"","\" Prof-specialty\"",50,"\" United-States\"","\" >50K\""
