AGE	JOB	MARITAL_STATUS	EDU	social	race	sex	position	county	country	salary
39	 State-gov	 Never-married	 Bachelors	 Not-in-family	 White	 Male	 Adm-clerical	40	 United-States	 <=50K
50	 Self-emp-not-inc	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	13	 United-States	 <=50K
38	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 Handlers-cleaners	40	 United-States	 <=50K
53	 Private	 Married-civ-spouse	 11th	 Husband	 Black	 Male	 Handlers-cleaners	40	 United-States	 <=50K
28	 Private	 Married-civ-spouse	 Bachelors	 Wife	 Black	 Female	 Prof-specialty	40	 Cuba	 <=50K
37	 Private	 Married-civ-spouse	 Masters	 Wife	 White	 Female	 Exec-managerial	40	 United-States	 <=50K
49	 Private	 Married-spouse-absent	 9th	 Not-in-family	 Black	 Female	 Other-service	16	 Jamaica	 <=50K
52	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Exec-managerial	45	 United-States	 >50K
31	 Private	 Never-married	 Masters	 Not-in-family	 White	 Female	 Prof-specialty	50	 United-States	 >50K
42	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	40	 United-States	 >50K
37	 Private	 Married-civ-spouse	 Some-college	 Husband	 Black	 Male	 Exec-managerial	80	 United-States	 >50K
30	 State-gov	 Married-civ-spouse	 Bachelors	 Husband	 Asian-Pac-Islander	 Male	 Prof-specialty	40	 India	 >50K
23	 Private	 Never-married	 Bachelors	 Own-child	 White	 Female	 Adm-clerical	30	 United-States	 <=50K
32	 Private	 Never-married	 Assoc-acdm	 Not-in-family	 Black	 Male	 Sales	50	 United-States	 <=50K
40	 Private	 Married-civ-spouse	 Assoc-voc	 Husband	 Asian-Pac-Islander	 Male	 Craft-repair	40	 ?	 >50K
34	 Private	 Married-civ-spouse	 7th-8th	 Husband	 Amer-Indian-Eskimo	 Male	 Transport-moving	45	 Mexico	 <=50K
25	 Self-emp-not-inc	 Never-married	 HS-grad	 Own-child	 White	 Male	 Farming-fishing	35	 United-States	 <=50K
32	 Private	 Never-married	 HS-grad	 Unmarried	 White	 Male	 Machine-op-inspct	40	 United-States	 <=50K
38	 Private	 Married-civ-spouse	 11th	 Husband	 White	 Male	 Sales	50	 United-States	 <=50K
43	 Self-emp-not-inc	 Divorced	 Masters	 Unmarried	 White	 Female	 Exec-managerial	45	 United-States	 >50K
40	 Private	 Married-civ-spouse	 Doctorate	 Husband	 White	 Male	 Prof-specialty	60	 United-States	 >50K
54	 Private	 Separated	 HS-grad	 Unmarried	 Black	 Female	 Other-service	20	 United-States	 <=50K
35	 Federal-gov	 Married-civ-spouse	 9th	 Husband	 Black	 Male	 Farming-fishing	40	 United-States	 <=50K
43	 Private	 Married-civ-spouse	 11th	 Husband	 White	 Male	 Transport-moving	40	 United-States	 <=50K
59	 Private	 Divorced	 HS-grad	 Unmarried	 White	 Female	 Tech-support	40	 United-States	 <=50K
56	 Local-gov	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Tech-support	40	 United-States	 >50K
19	 Private	 Never-married	 HS-grad	 Own-child	 White	 Male	 Craft-repair	40	 United-States	 <=50K
54	 ?	 Married-civ-spouse	 Some-college	 Husband	 Asian-Pac-Islander	 Male	 ?	60	 South	 >50K
39	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 Exec-managerial	80	 United-States	 <=50K
49	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	40	 United-States	 <=50K
23	 Local-gov	 Never-married	 Assoc-acdm	 Not-in-family	 White	 Male	 Protective-serv	52	 United-States	 <=50K
20	 Private	 Never-married	 Some-college	 Own-child	 Black	 Male	 Sales	44	 United-States	 <=50K
45	 Private	 Divorced	 Bachelors	 Own-child	 White	 Male	 Exec-managerial	40	 United-States	 <=50K
30	 Federal-gov	 Married-civ-spouse	 Some-college	 Own-child	 White	 Male	 Adm-clerical	40	 United-States	 <=50K
22	 State-gov	 Married-civ-spouse	 Some-college	 Husband	 Black	 Male	 Other-service	15	 United-States	 <=50K
48	 Private	 Never-married	 11th	 Unmarried	 White	 Male	 Machine-op-inspct	40	 Puerto-Rico	 <=50K
21	 Private	 Never-married	 Some-college	 Own-child	 White	 Male	 Machine-op-inspct	40	 United-States	 <=50K
19	 Private	 Married-AF-spouse	 HS-grad	 Wife	 White	 Female	 Adm-clerical	25	 United-States	 <=50K
31	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Sales	38	 ?	 >50K
48	 Self-emp-not-inc	 Married-civ-spouse	 Assoc-acdm	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 <=50K
31	 Private	 Married-civ-spouse	 9th	 Husband	 White	 Male	 Machine-op-inspct	43	 United-States	 <=50K
53	 Self-emp-not-inc	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 <=50K
24	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Tech-support	50	 United-States	 <=50K
49	 Private	 Separated	 HS-grad	 Unmarried	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
25	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Handlers-cleaners	35	 United-States	 <=50K
